customer_id,signup_date,plan,channel,age_group,monthly_fee,churned,tenure_months,churn_date,churn_reason,clv,cohort,signup_month
C0049,2023-10-15 08:16:00.800667,Premium,Referral,35-44,999,0,23,,,22977,2023-10,Oct 2023
C0050,2023-02-09 03:54:11.709758,Premium,Referral,55+,999,1,6,2023-08-08 03:54:11.709758,Better competitor,5994,2023-02,Feb 2023
C0051,2023-09-24 20:27:25.371142,Basic,Referral,35-44,299,1,11,2024-08-19 20:27:25.371142,Price too high,3289,2023-09,Sep 2023
C0052,2023-07-24 22:05:54.295246,Standard,Paid Ads,25-34,599,0,9,,,5391,2023-07,Jul 2023
C0053,2023-07-08 23:34:46.738949,Standard,Paid Ads,25-34,599,1,9,2024-04-03 23:34:46.738949,Lack of features,5391,2023-07,Jul 2023
C0054,2023-04-22 13:37:52.894078,Basic,Organic,35-44,299,0,12,,,3588,2023-04,Apr 2023
C0055,2023-09-17 02:39:43.986655,Premium,Organic,25-34,999,0,8,,,7992,2023-09,Sep 2023
C0056,2023-06-27 14:21:07.055879,Standard,Organic,45-54,599,0,8,,,4792,2023-06,Jun 2023
C0057,2024-05-25 11:31:46.588824,Premium,Email,25-34,999,1,1,2024-06-24 11:31:46.588824,Poor support,999,2024-05,May 2024
C0058,2023-10-08 12:19:48.990825,Premium,Referral,25-34,999,0,7,,,6993,2023-10,Oct 2023
C0059,2024-03-09 23:26:22.318598,Standard,Referral,45-54,599,0,9,,,5391,2024-03,Mar 2024
C0060,2023-10-18 01:50:29.524603,Basic,Paid Ads,25-34,299,0,12,,,3588,2023-10,Oct 2023
C0061,2023-03-22 14:27:07.356130,Standard,Referral,25-34,599,1,11,2024-02-15 14:27:07.356130,Technical issues,6589,2023-03,Mar 2023
C0062,2023-10-02 14:15:06.755629,Standard,Referral,18-24,599,0,14,,,8386,2023-10,Oct 2023
C0063,2023-05-14 21:09:27.472894,Basic,Organic,35-44,299,1,5,2023-10-11 21:09:27.472894,Price too high,1495,2023-05,May 2023
C0064,2023-01-30 14:23:31.175979,Basic,Social Media,25-34,299,0,20,,,5980,2023-01,Jan 2023
C0065,2023-11-19 09:48:29.424520,Premium,Referral,55+,999,1,11,2024-10-14 09:48:29.424520,Lack of features,10989,2023-11,Nov 2023
C0066,2023-08-24 21:16:39.833194,Standard,Organic,35-44,599,0,17,,,10183,2023-08,Aug 2023
C0067,2023-12-29 22:29:55.496246,Standard,Organic,25-34,599,0,6,,,3594,2023-12,Dec 2023
C0068,2024-04-07 05:02:39.132610,Standard,Paid Ads,55+,599,0,10,,,5990,2024-04,Apr 2024
C0069,2024-04-09 11:41:23.069224,Premium,Social Media,45-54,999,1,1,2024-05-09 11:41:23.069224,Lack of features,999,2024-04,Apr 2024
C0070,2024-04-19 23:03:33.177648,Standard,Paid Ads,25-34,599,0,20,,,11980,2024-04,Apr 2024
C0071,2023-02-10 01:45:41.284403,Standard,Email,35-44,599,1,11,2024-01-06 01:45:41.284403,Price too high,6589,2023-02,Feb 2023
C0072,2023-08-01 15:53:35.679733,Standard,Organic,55+,599,1,6,2024-01-28 15:53:35.679733,Price too high,3594,2023-08,Aug 2023
C0073,2023-12-26 07:03:57.197664,Premium,Organic,35-44,999,0,16,,,15984,2023-12,Dec 2023
C0074,2023-12-31 18:12:54.645537,Standard,Organic,35-44,599,0,9,,,5391,2023-12,Dec 2023
C0075,2024-01-16 05:48:17.414512,Standard,Organic,25-34,599,0,20,,,11980,2024-01,Jan 2024
C0076,2023-06-25 18:38:07.906588,Standard,Organic,35-44,599,0,12,,,7188,2023-06,Jun 2023
C0077,2023-05-19 21:22:40.133444,Premium,Referral,18-24,999,0,11,,,10989,2023-05,May 2023
C0078,2023-02-28 17:51:17.564637,Standard,Organic,25-34,599,0,13,,,7787,2023-02,Feb 2023
C0079,2023-09-29 09:44:53.244370,Standard,Paid Ads,45-54,599,1,7,2024-04-26 09:44:53.244370,Lack of features,4193,2023-09,Sep 2023
C0080,2024-02-11 15:41:35.079232,Basic,Paid Ads,35-44,299,0,16,,,4784,2024-02,Feb 2024
C0081,2023-09-28 00:57:38.882402,Premium,Paid Ads,25-34,999,0,8,,,7992,2023-09,Sep 2023
C0082,2023-10-12 14:41:32.076730,Basic,Email,45-54,299,0,20,,,5980,2023-10,Oct 2023
C0083,2023-09-12 02:26:31.326105,Standard,Organic,25-34,599,1,3,2023-12-11 02:26:31.326105,Better competitor,1797,2023-09,Sep 2023
C0084,2023-11-22 03:22:58.148457,Standard,Referral,25-34,599,0,17,,,10183,2023-11,Nov 2023
C0085,2023-01-12 09:13:39.683069,Standard,Organic,45-54,599,1,5,2023-06-11 09:13:39.683069,Better competitor,2995,2023-01,Jan 2023
C0086,2023-05-15 08:05:12.260216,Basic,Organic,25-34,299,0,9,,,2691,2023-05,May 2023
C0087,2023-02-18 17:24:52.243536,Basic,Paid Ads,55+,299,0,11,,,3289,2023-02,Feb 2023
C0088,2024-06-15 21:11:51.592994,Standard,Organic,55+,599,0,20,,,11980,2024-06,Jun 2024
C0089,2024-03-25 21:57:29.874895,Premium,Paid Ads,25-34,999,0,20,,,19980,2024-03,Mar 2024
C0090,2024-04-04 11:28:10.408673,Standard,Email,35-44,599,0,6,,,3594,2024-04,Apr 2024
C0091,2024-06-28 04:17:00.850708,Standard,Paid Ads,25-34,599,0,21,,,12579,2024-06,Jun 2024
C0092,2023-04-26 05:03:51.192660,Standard,Organic,25-34,599,0,6,,,3594,2023-04,Apr 2023
C0093,2023-07-19 00:01:12.060050,Basic,Paid Ads,35-44,299,1,2,2023-09-17 00:01:12.060050,Lack of features,598,2023-07,Jul 2023
C0094,2024-04-23 14:29:31.476230,Premium,Social Media,25-34,999,1,11,2025-03-19 14:29:31.476230,Price too high,10989,2024-04,Apr 2024
C0095,2023-05-02 03:08:33.427856,Basic,Referral,45-54,299,0,21,,,6279,2023-05,May 2023
C0096,2023-08-11 16:20:01.000834,Premium,Paid Ads,25-34,999,1,3,2023-11-09 16:20:01.000834,Better competitor,2997,2023-08,Aug 2023
C0097,2023-10-13 23:28:46.438698,Basic,Organic,35-44,299,0,17,,,5083,2023-10,Oct 2023
C0098,2024-01-01 16:04:24.220183,Premium,Paid Ads,45-54,999,0,15,,,14985,2024-01,Jan 2024
C0099,2024-04-07 15:58:23.919933,Standard,Organic,25-34,599,1,8,2024-12-03 15:58:23.919933,Better competitor,4792,2024-04,Apr 2024
C0100,2023-09-15 06:56:44.837364,Basic,Email,25-34,299,0,11,,,3289,2023-09,Sep 2023
C0101,2023-11-06 15:47:35.379482,Standard,Email,18-24,599,0,15,,,8985,2023-11,Nov 2023
C0102,2024-01-18 23:22:46.138448,Basic,Organic,18-24,299,0,8,,,2392,2024-01,Jan 2024
C0103,2023-08-08 00:54:02.702251,Basic,Email,45-54,299,1,4,2023-12-06 00:54:02.702251,Price too high,1196,2023-08,Aug 2023
C0104,2023-03-08 11:38:58.949124,Standard,Paid Ads,55+,599,0,16,,,9584,2023-03,Mar 2023
C0105,2024-06-09 23:07:09.357798,Basic,Social Media,35-44,299,0,19,,,5681,2024-06,Jun 2024
C0106,2024-03-06 18:56:08.807339,Premium,Organic,18-24,999,0,23,,,22977,2024-03,Mar 2024
C0107,2024-04-13 14:03:06.155129,Basic,Paid Ads,45-54,299,0,17,,,5083,2024-04,Apr 2024
C0108,2024-03-22 06:31:31.576313,Standard,Paid Ads,25-34,599,0,21,,,12579,2024-03,Mar 2024
C0109,2024-03-17 06:18:18.915763,Basic,Referral,45-54,299,1,9,2024-12-12 06:18:18.915763,Price too high,2691,2024-03,Mar 2024
C0110,2023-09-01 04:08:36.430358,Premium,Organic,35-44,999,0,19,,,18981,2023-09,Sep 2023
C0111,2023-11-29 10:14:54.745621,Standard,Referral,45-54,599,0,19,,,11381,2023-11,Nov 2023
C0112,2023-01-20 03:01:21.067556,Basic,Organic,25-34,299,0,7,,,2093,2023-01,Jan 2023
C0113,2023-02-26 11:12:33.628023,Premium,Referral,18-24,999,0,18,,,17982,2023-02,Feb 2023
C0114,2023-11-02 02:30:07.506255,Basic,Referral,35-44,299,0,19,,,5681,2023-11,Nov 2023
C0115,2023-12-19 22:03:30.175145,Basic,Social Media,25-34,299,0,18,,,5382,2023-12,Dec 2023
C0116,2024-02-21 05:12:15.613010,Premium,Paid Ads,45-54,999,1,8,2024-10-18 05:12:15.613010,Poor support,7992,2024-02,Feb 2024
C0117,2023-06-01 15:23:34.178482,Premium,Organic,35-44,999,1,3,2023-08-30 15:23:34.178482,Better competitor,2997,2023-06,Jun 2023
C0118,2024-02-19 09:29:16.463719,Standard,Paid Ads,35-44,599,0,22,,,13178,2024-02,Feb 2024
C0119,2023-05-11 16:39:13.961634,Premium,Organic,45-54,999,1,7,2023-12-07 16:39:13.961634,Lack of features,6993,2023-05,May 2023
C0120,2023-06-17 13:54:41.734778,Standard,Email,25-34,599,0,15,,,8985,2023-06,Jun 2023
C0121,2023-03-07 13:47:29.374478,Premium,Email,45-54,999,0,9,,,8991,2023-03,Mar 2023
C0122,2023-12-14 21:50:17.514595,Basic,Referral,18-24,299,0,15,,,4485,2023-12,Dec 2023
C0123,2024-06-01 18:23:43.185988,Standard,Social Media,45-54,599,1,5,2024-10-29 18:23:43.185988,Lack of features,2995,2024-06,Jun 2024
C0124,2023-04-30 07:25:34.278565,Standard,Organic,25-34,599,0,23,,,13777,2023-04,Apr 2023
C0125,2023-09-25 18:18:54.945788,Standard,Organic,25-34,599,0,9,,,5391,2023-09,Sep 2023
C0126,2023-12-21 06:50:44.537114,Basic,Organic,18-24,299,0,19,,,5681,2023-12,Dec 2023
C0127,2024-04-19 01:12:03.603002,Standard,Organic,35-44,599,1,5,2024-09-16 01:12:03.603002,No longer needed,2995,2024-04,Apr 2024
C0128,2023-07-04 10:17:18.865721,Standard,Social Media,35-44,599,0,13,,,7787,2023-07,Jul 2023
C0129,2024-02-23 22:46:44.336947,Standard,Organic,25-34,599,1,3,2024-05-23 22:46:44.336947,Better competitor,1797,2024-02,Feb 2024
C0130,2023-08-18 12:16:12.810675,Standard,Paid Ads,35-44,599,0,7,,,4193,2023-08,Aug 2023
C0131,2023-11-18 11:56:59.849874,Basic,Organic,35-44,299,0,6,,,1794,2023-11,Nov 2023
C0132,2023-03-20 07:48:23.419516,Premium,Email,45-54,999,0,16,,,15984,2023-03,Mar 2023
C0133,2023-04-13 00:07:12.360300,Basic,Paid Ads,55+,299,0,23,,,6877,2023-04,Apr 2023
C0134,2024-05-03 14:55:56.797331,Premium,Paid Ads,25-34,999,0,22,,,21978,2024-05,May 2024
C0135,2024-03-29 02:27:43.386155,Premium,Referral,25-34,999,0,16,,,15984,2024-03,Mar 2024
C0136,2023-09-07 13:09:03.452877,Standard,Paid Ads,35-44,599,0,14,,,8386,2023-09,Sep 2023
C0137,2023-08-05 18:15:18.765638,Standard,Referral,25-34,599,1,10,2024-05-31 18:15:18.765638,Price too high,5990,2023-08,Aug 2023
C0138,2024-05-09 23:56:23.819849,Basic,Social Media,45-54,299,0,15,,,4485,2024-05,May 2024
C0139,2024-04-01 06:57:56.897414,Standard,Organic,35-44,599,0,8,,,4792,2024-04,Apr 2024
C0140,2023-01-14 15:52:23.619683,Premium,Email,35-44,999,1,8,2023-09-11 15:52:23.619683,Lack of features,7992,2023-01,Jan 2023
C0141,2023-01-02 08:47:14.361968,Standard,Email,35-44,599,1,9,2023-09-29 08:47:14.361968,Better competitor,5391,2023-01,Jan 2023
C0142,2023-03-07 02:51:44.587155,Premium,Paid Ads,35-44,999,0,23,,,22977,2023-03,Mar 2023
C0143,2023-03-12 03:04:57.247706,Basic,Organic,25-34,299,0,11,,,3289,2023-03,Mar 2023
C0144,2023-03-03 22:21:31.075896,Premium,Referral,35-44,999,1,9,2023-11-28 22:21:31.075896,Poor support,8991,2023-03,Mar 2023
C0145,2023-10-23 02:03:42.185154,Standard,Paid Ads,45-54,599,1,5,2024-03-21 02:03:42.185154,Price too high,2995,2023-10,Oct 2023
C0146,2024-02-23 00:55:14.762301,Premium,Paid Ads,45-54,999,0,22,,,21978,2024-02,Feb 2024
C0147,2023-02-05 01:32:28.623853,Basic,Paid Ads,18-24,299,1,8,2023-10-03 01:32:28.623853,Price too high,2392,2023-02,Feb 2023
C0148,2023-01-11 00:26:25.321100,Standard,Social Media,25-34,599,0,8,,,4792,2023-01,Jan 2023
C0149,2023-05-17 03:48:11.409507,Basic,Organic,55+,299,0,13,,,3887,2023-05,May 2023
C0150,2024-01-08 12:00:36.030025,Basic,Paid Ads,25-34,299,1,8,2024-09-04 12:00:36.030025,Price too high,2392,2024-01,Jan 2024
C0151,2024-06-16 08:07:36.380316,Premium,Paid Ads,25-34,999,1,1,2024-07-16 08:07:36.380316,Poor support,999,2024-06,Jun 2024
C0152,2024-03-28 04:36:13.811509,Standard,Paid Ads,45-54,599,1,10,2025-01-22 04:36:13.811509,Poor support,5990,2024-03,Mar 2024
C0153,2024-01-02 13:55:53.794829,Basic,Organic,45-54,299,0,7,,,2093,2024-01,Jan 2024
C0154,2023-10-06 05:41:05.054211,Standard,Email,18-24,599,1,8,2024-06-02 05:41:05.054211,Lack of features,4792,2023-10,Oct 2023
C0155,2023-10-03 23:02:21.117598,Basic,Referral,25-34,299,1,4,2024-01-31 23:02:21.117598,Poor support,1196,2023-10,Oct 2023
C0156,2023-04-07 23:53:59.699749,Standard,Social Media,18-24,599,0,16,,,9584,2023-04,Apr 2023
C0157,2024-06-17 05:59:05.954962,Standard,Referral,35-44,599,1,3,2024-09-15 05:59:05.954962,Price too high,1797,2024-06,Jun 2024
C0158,2024-05-25 22:27:31.376146,Basic,Organic,45-54,299,1,11,2025-04-20 22:27:31.376146,Price too high,3289,2024-05,May 2024
C0159,2024-02-24 09:42:29.124270,Basic,Referral,25-34,299,0,6,,,1794,2024-02,Feb 2024
C0160,2023-07-07 14:47:32.376980,Basic,Referral,35-44,299,0,18,,,5382,2023-07,Jul 2023
C0161,2023-03-05 18:04:30.225187,Basic,Referral,55+,299,1,2,2023-05-04 18:04:30.225187,Better competitor,598,2023-03,Mar 2023
C0162,2023-11-07 13:39:04.954128,Basic,Referral,35-44,299,0,21,,,6279,2023-11,Nov 2023
C0163,2023-09-05 17:26:04.303586,Standard,Organic,45-54,599,0,18,,,10782,2023-09,Sep 2023
C0164,2024-04-05 09:19:39.983319,Premium,Email,25-34,999,1,8,2024-12-01 09:19:39.983319,No longer needed,7992,2024-04,Apr 2024
C0165,2023-11-04 09:08:51.442869,Basic,Organic,25-34,299,1,2,2024-01-03 09:08:51.442869,Technical issues,598,2023-11,Nov 2023
C0166,2023-12-31 07:17:09.858215,Basic,Organic,25-34,299,0,12,,,3588,2023-12,Dec 2023
C0167,2024-06-02 16:15:12.760633,Premium,Organic,25-34,999,0,13,,,12987,2024-06,Jun 2024
C0168,2024-06-23 04:03:48.190158,Standard,Referral,18-24,599,1,1,2024-07-23 04:03:48.190158,Price too high,599,2024-06,Jun 2024
C0169,2024-05-10 10:52:08.607172,Premium,Paid Ads,25-34,999,1,11,2025-04-05 10:52:08.607172,No longer needed,10989,2024-05,May 2024
C0170,2024-05-15 22:01:06.055045,Premium,Paid Ads,25-34,999,0,11,,,10989,2024-05,May 2024
C0171,2024-03-24 02:14:30.725604,Basic,Referral,25-34,299,1,8,2024-11-19 02:14:30.725604,Technical issues,2392,2024-03,Mar 2024
C0172,2024-05-14 02:18:06.905754,Basic,Social Media,35-44,299,0,8,,,2392,2024-05,May 2024
C0173,2024-04-29 12:34:13.711426,Basic,Organic,45-54,299,1,5,2024-09-26 12:34:13.711426,No longer needed,1495,2024-04,Apr 2024
C0174,2023-01-09 04:43:26.171809,Basic,Referral,25-34,299,1,6,2023-07-08 04:43:26.171809,Technical issues,1794,2023-01,Jan 2023
C0175,2024-04-04 22:23:55.195996,Premium,Organic,25-34,999,0,19,,,18981,2024-04,Apr 2024
C0176,2024-04-25 10:12:30.625521,Premium,Referral,25-34,999,0,10,,,9990,2024-04,Apr 2024
C0177,2024-01-26 06:14:42.735613,Standard,Organic,45-54,599,0,21,,,12579,2024-01,Jan 2024
C0178,2023-08-16 16:33:13.661384,Standard,Paid Ads,35-44,599,0,14,,,8386,2023-08,Aug 2023
C0179,2023-08-06 16:06:48.340283,Basic,Organic,25-34,299,0,7,,,2093,2023-08,Aug 2023
C0180,2023-10-09 10:11:18.565471,Basic,Paid Ads,35-44,299,1,8,2024-06-05 10:11:18.565471,Lack of features,2392,2023-10,Oct 2023
C0181,2024-03-25 11:01:45.087572,Standard,Social Media,18-24,599,1,5,2024-08-22 11:01:45.087572,Price too high,2995,2024-03,Mar 2024
C0182,2023-11-23 01:14:27.723102,Basic,Referral,45-54,299,1,9,2024-08-19 01:14:27.723102,Price too high,2691,2023-11,Nov 2023
C0183,2024-06-24 12:51:02.552126,Standard,Email,18-24,599,1,1,2024-07-24 12:51:02.552126,Price too high,599,2024-06,Jun 2024
C0184,2023-04-26 15:59:35.979983,Basic,Organic,45-54,299,1,9,2024-01-21 15:59:35.979983,Price too high,2691,2023-04,Apr 2023
C0185,2023-04-13 11:02:57.147623,Basic,Paid Ads,55+,299,0,18,,,5382,2023-04,Apr 2023
C0186,2023-08-14 09:54:29.724770,Premium,Organic,25-34,999,0,16,,,15984,2023-08,Aug 2023
C0187,2024-06-14 12:24:37.231025,Premium,Organic,45-54,999,0,7,,,6993,2024-06,Jun 2024
C0188,2023-02-15 01:58:53.944954,Basic,Referral,25-34,299,0,21,,,6279,2023-02,Feb 2023
C0189,2024-02-08 11:11:21.567973,Premium,Email,25-34,999,1,6,2024-08-06 11:11:21.567973,Price too high,5994,2024-02,Feb 2024
C0190,2023-04-28 22:38:19.916597,Standard,Social Media,25-34,599,0,17,,,10183,2023-04,Apr 2023
C0191,2023-02-21 10:59:20.967472,Standard,Social Media,45-54,599,0,16,,,9584,2023-02,Feb 2023
C0192,2023-10-18 12:46:14.311926,Basic,Email,45-54,299,1,4,2024-02-15 12:46:14.311926,Better competitor,1196,2023-10,Oct 2023
C0193,2023-04-08 10:49:44.487072,Basic,Referral,45-54,299,0,20,,,5980,2023-04,Apr 2023
C0194,2024-06-30 00:00:00.000000,Basic,Email,25-34,299,0,23,,,6877,2024-06,Jun 2024
C0195,2024-03-01 18:42:56.146788,Standard,Referral,25-34,599,1,10,2024-12-26 18:42:56.146788,No longer needed,5990,2024-03,Mar 2024
C0196,2023-07-27 15:40:23.019182,Premium,Organic,35-44,999,0,15,,,14985,2023-07,Jul 2023
C0197,2024-01-23 23:35:58.798999,Basic,Paid Ads,35-44,299,0,21,,,6279,2024-01,Jan 2024
C0198,2024-05-02 17:04:27.222685,Basic,Paid Ads,18-24,299,1,2,2024-07-01 17:04:27.222685,Better competitor,598,2024-05,May 2024
C0199,2023-06-06 04:41:02.051709,Standard,Paid Ads,25-34,599,0,7,,,4193,2023-06,Jun 2023
C0200,2024-05-13 15:22:22.118432,Standard,Email,45-54,599,0,14,,,8386,2024-05,May 2024
C0201,2024-01-21 16:57:14.862385,Premium,Social Media,35-44,999,0,8,,,7992,2024-01,Jan 2024
C0202,2023-11-01 04:38:37.931609,Basic,Organic,25-34,299,0,23,,,6877,2023-11,Nov 2023
C0203,2023-06-09 09:11:15.562969,Basic,Organic,18-24,299,0,14,,,4186,2023-06,Jun 2023
C0204,2023-12-19 11:07:45.387823,Standard,Social Media,25-34,599,0,17,,,10183,2023-12,Dec 2023
C0205,2023-11-24 10:01:42.085070,Basic,Referral,25-34,299,0,17,,,5083,2023-11,Nov 2023
C0206,2023-03-19 20:52:38.632193,Premium,Social Media,35-44,999,0,19,,,18981,2023-03,Mar 2023
C0207,2023-11-04 20:04:36.230191,Premium,Paid Ads,18-24,999,0,21,,,20979,2023-11,Nov 2023
C0208,2023-11-05 17:56:05.804837,Standard,Paid Ads,25-34,599,0,10,,,5990,2023-11,Nov 2023
C0209,2023-01-26 22:57:32.877397,Premium,Organic,45-54,999,1,8,2023-09-23 22:57:32.877397,Price too high,7992,2023-01,Jan 2023
C0210,2023-01-23 18:27:19.366138,Standard,Referral,35-44,599,0,18,,,10782,2023-01,Jan 2023
C0211,2023-03-11 05:13:27.673060,Standard,Organic,18-24,599,1,6,2023-09-07 05:13:27.673060,Better competitor,3594,2023-03,Mar 2023
C0212,2023-04-18 11:16:09.808173,Basic,Paid Ads,25-34,299,0,8,,,2392,2023-04,Apr 2023
C0213,2023-03-01 15:42:47.139282,Basic,Referral,55+,299,1,5,2023-07-29 15:42:47.139282,Price too high,1495,2023-03,Mar 2023
C0214,2023-08-16 05:37:28.874061,Standard,Organic,35-44,599,0,23,,,13777,2023-08,Aug 2023
C0215,2023-01-08 06:51:56.597164,Basic,Paid Ads,25-34,299,0,8,,,2392,2023-01,Jan 2023
C0216,2023-05-04 20:43:02.151793,Premium,Referral,45-54,999,1,3,2023-08-02 20:43:02.151793,Price too high,2997,2023-05,May 2023
C0217,2023-04-17 02:28:55.446205,Standard,Referral,18-24,599,0,6,,,3594,2023-04,Apr 2023
C0218,2024-03-18 04:09:48.490408,Standard,Social Media,35-44,599,0,8,,,4792,2024-03,Mar 2024
C0219,2023-11-19 20:44:14.211843,Standard,Email,55+,599,0,23,,,13777,2023-11,Nov 2023
C0220,2023-04-28 00:46:50.341951,Premium,Paid Ads,25-34,999,0,12,,,11988,2023-04,Apr 2023
C0221,2023-09-30 07:36:22.819015,Standard,Paid Ads,25-34,599,0,19,,,11381,2023-09,Sep 2023
C0222,2024-01-29 10:44:56.246872,Basic,Organic,35-44,299,0,6,,,1794,2024-01,Jan 2024
C0223,2023-11-23 23:05:57.297748,Basic,Paid Ads,18-24,299,1,7,2024-06-20 23:05:57.297748,Technical issues,2093,2023-11,Nov 2023
C0224,2023-03-13 22:47:56.396997,Basic,Paid Ads,45-54,299,0,22,,,6578,2023-03,Mar 2023
